,index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
0,0,F,N,N,A,202500.0,Commercial associate,Higher education,Married,Municipal apartment,38,4709.0,A,N,N,N,A,B,6.0,1.0
1,1,F,N,Y,B,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,31,1540.0,B,N,N,Y,B,C,5.0,1.0
2,2,M,Y,Y,A,259500.0,Working,Higher education,Married,House / apartment,52,4434.0,B,N,Y,N,D,B,22.0,2.0
3,3,F,N,Y,A,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,2092.0,B,N,Y,N,B,B,37.0,0.0
4,4,F,Y,Y,A,157500.0,State servant,Higher education,Married,House / apartment,41,2105.0,A,N,N,N,D,B,26.0,2.0
5,5,F,N,Y,C,270000.0,Working,Secondary / secondary special,Married,House / apartment,36,4996.0,B,N,N,Y,B,D,18.0,1.0
6,6,F,N,N,A,315000.0,Working,Secondary / secondary special,Separated,House / apartment,48,1978.0,B,N,N,Y,B,A,41.0,2.0
7,7,M,N,Y,A,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40,5420.0,B,N,N,Y,B,B,53.0,0.0
8,8,M,Y,Y,B,180000.0,Commercial associate,Higher education,Married,House / apartment,41,1466.0,B,N,N,Y,A,C,38.0,2.0
9,9,F,N,Y,A,103500.0,Working,Secondary / secondary special,Married,House / apartment,43,1308.0,A,N,N,N,C,B,5.0,2.0
10,10,F,N,Y,A,193500.0,Working,Secondary / secondary special,Separated,House / apartment,52,2213.0,D,Y,Y,Y,B,A,40.0,2.0
11,11,M,Y,Y,B,135000.0,Commercial associate,Higher education,Married,House / apartment,32,91.0,A,N,N,N,D,C,51.0,2.0
12,12,F,Y,Y,B,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32,2162.0,A,N,N,N,B,C,60.0,0.0
13,13,F,N,N,A,135000.0,Working,Higher education,Married,House / apartment,27,2474.0,B,N,Y,N,B,B,41.0,2.0
14,14,F,N,Y,A,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,62,0.0,B,N,Y,N,A,A,41.0,2.0
15,15,M,Y,Y,C,157500.0,Working,Secondary / secondary special,Married,With parents,35,4056.0,B,N,Y,N,B,D,60.0,0.0
16,16,M,N,Y,A,180000.0,Working,Secondary / secondary special,Married,House / apartment,53,4553.0,B,N,Y,N,B,B,2.0,1.0
17,17,M,N,N,A,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,24,984.0,B,N,N,Y,B,B,14.0,2.0
18,18,F,N,Y,A,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63,0.0,A,N,N,N,A,B,37.0,2.0
19,19,F,N,Y,A,180000.0,Working,Secondary / secondary special,Married,House / apartment,37,6031.0,A,N,N,N,A,B,7.0,2.0
20,20,M,N,N,A,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,1753.0,B,N,Y,N,A,B,35.0,2.0
21,21,F,N,N,A,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58,0.0,B,N,Y,N,A,B,7.0,2.0
22,22,F,N,N,A,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,41,1357.0,A,N,N,N,B,B,22.0,0.0
23,23,M,Y,N,A,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,39,444.0,D,Y,Y,Y,A,B,18.0,2.0
24,24,F,N,N,A,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,61,0.0,B,N,Y,N,A,A,5.0,2.0
25,25,F,N,Y,B,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,38,3694.0,A,N,N,N,D,C,4.0,2.0
26,26,M,Y,N,B,135000.0,Working,Higher education,Married,House / apartment,48,3353.0,B,Y,N,N,B,C,13.0,2.0
27,27,M,Y,Y,A,259500.0,State servant,Secondary / secondary special,Married,House / apartment,47,3500.0,A,N,N,N,A,B,57.0,2.0
28,28,M,Y,N,A,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,60,2325.0,C,Y,Y,N,B,B,47.0,2.0
29,29,F,N,Y,A,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,32,1711.0,B,N,Y,N,B,B,22.0,0.0
30,30,M,Y,N,A,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,36,227.0,A,N,N,N,D,B,33.0,2.0
31,31,M,Y,Y,A,135000.0,Commercial associate,Higher education,Married,House / apartment,32,3452.0,C,Y,N,Y,B,B,18.0,0.0
32,32,F,N,Y,A,135000.0,Working,Higher education,Married,House / apartment,36,1628.0,A,N,N,N,B,B,2.0,0.0
33,33,M,N,Y,A,202500.0,Working,Secondary / secondary special,Married,House / apartment,52,346.0,B,N,Y,N,B,B,30.0,2.0
34,34,M,Y,Y,B,270000.0,Working,Secondary / secondary special,Married,House / apartment,39,1630.0,B,N,Y,N,B,C,22.0,0.0
35,35,F,Y,N,A,225000.0,Working,Higher education,Civil marriage,House / apartment,39,2433.0,A,N,N,N,D,B,20.0,2.0
36,36,F,Y,N,A,225000.0,Working,Higher education,Single / not married,House / apartment,55,1022.0,C,Y,Y,N,B,A,14.0,2.0
37,37,M,Y,Y,A,259500.0,Commercial associate,Secondary / secondary special,Married,With parents,45,1646.0,A,N,N,N,B,B,8.0,2.0
38,38,F,N,Y,A,202500.0,Working,Secondary / secondary special,Married,House / apartment,37,3472.0,A,N,N,N,B,B,41.0,2.0
39,39,M,Y,Y,C,112500.0,Working,Secondary / secondary special,Married,House / apartment,35,1600.0,A,N,N,N,B,D,39.0,2.0
40,40,M,Y,Y,A,90900.0,Working,Secondary / secondary special,Married,House / apartment,59,2426.0,A,N,N,N,B,B,21.0,1.0
41,41,F,N,Y,C,99000.0,Commercial associate,Higher education,Married,House / apartment,34,433.0,B,N,Y,N,B,D,19.0,2.0
42,42,M,N,N,B,270000.0,Working,Secondary / secondary special,Married,House / apartment,27,554.0,B,Y,N,N,D,C,35.0,0.0
43,43,F,N,N,A,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,1876.0,A,N,N,N,B,B,8.0,1.0
44,44,M,N,N,A,247500.0,Working,Higher education,Civil marriage,House / apartment,41,199.0,A,N,N,N,B,B,26.0,2.0
45,45,M,Y,N,A,259500.0,Working,Higher education,Married,House / apartment,51,3200.0,C,Y,Y,N,B,B,4.0,0.0
46,46,F,N,N,A,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,57,0.0,B,N,Y,N,A,A,24.0,2.0
47,47,F,Y,Y,A,292500.0,Commercial associate,Higher education,Married,House / apartment,50,3482.0,A,N,N,N,B,B,48.0,2.0
